,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0,1,18,4,2,1049,1,2,4,2,1,4,2,21,3,1,1,3,2,1,2,1
1,1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,1
2,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,2,1,2,1
3,1,12,4,0,2122,1,3,3,3,1,2,1,39,3,1,2,2,1,1,1,1
4,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,1,1,1,1
5,1,8,4,0,3398,1,4,1,3,1,4,1,39,3,2,2,2,2,1,1,1
6,1,6,4,0,1361,1,2,2,3,1,4,1,40,3,2,1,2,1,1,1,1
7,4,18,4,3,1098,1,1,4,2,1,4,3,65,3,2,2,1,2,1,2,1
8,2,24,2,3,3758,3,1,1,2,1,4,4,23,3,1,1,1,2,1,2,1
9,1,11,4,0,3905,1,3,2,3,1,2,1,36,3,1,2,3,1,1,2,1
10,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,2,1,2,1
11,1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,2,1,2,1
12,2,48,3,10,7582,2,1,2,3,1,4,4,31,3,2,1,4,2,2,2,1
13,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,1,1,2,1
14,1,11,4,0,3939,1,3,1,3,1,2,1,40,3,2,2,2,1,1,2,1
15,2,18,2,3,3213,3,2,1,4,1,3,1,25,3,1,1,3,2,1,2,1
16,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,2,1,2,1
17,2,12,4,0,3124,1,2,1,3,1,3,1,49,1,2,2,2,1,1,2,1
18,2,12,4,4,1424,1,4,4,3,1,3,2,26,3,2,1,3,2,1,2,1
19,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,1,1,2,1
20,2,11,3,3,4771,1,4,2,3,1,4,2,51,3,2,1,3,2,1,2,1
21,1,12,2,2,652,1,5,4,2,1,4,2,24,3,1,1,3,2,1,2,1
22,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,2,1,2,1
23,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,2,1,2,1
24,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,2,1,2,1
25,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,2,2,2,1
26,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,2,1,2,1
27,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,2,1,2,1
28,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,2,2,2,1
29,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,1,1,2,1
30,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,2,1,2,1
31,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,2,2,2,1
32,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,2,2,2,1
33,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,2,1,2,1
34,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,2,2,2,1
35,4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,2,1,2,1
36,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,1,2,2,1
37,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,2,1,2,1
38,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,2,2,2,1
39,4,24,2,0,1474,2,2,4,4,1,3,1,33,3,2,1,3,2,2,2,1
40,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,2,1,2,1
41,3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,2,2,2,1
42,4,12,4,3,2331,5,5,1,3,2,4,1,49,3,2,1,3,2,2,2,1
43,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,1,2,2,1
44,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,2,2,2,1
45,4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,2,2,2,1
46,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,2,1,1,1
47,4,21,2,3,3160,5,5,4,3,1,3,2,41,3,2,1,3,2,2,2,1
48,4,36,2,0,3079,5,3,4,3,1,4,1,36,3,2,1,3,2,1,2,1
49,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,2,2,2,1
50,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,2,2,2,1
51,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,2,2,2,1
52,4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,1,2,2,1
53,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,2,1,2,1
54,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,2,2,2,1
55,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,2,2,2,1
56,2,21,4,2,2745,4,4,3,3,1,2,3,32,3,2,2,3,2,2,2,1
57,4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,2,2,2,1
58,4,24,2,2,929,5,4,4,3,1,2,3,31,2,2,1,3,2,2,2,1
59,3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,2,1,2,1
60,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,2,2,2,1
61,4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,2,2,2,1
62,4,24,4,0,1940,4,5,4,3,1,4,1,60,3,2,1,3,2,2,2,1
63,4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,2,1,2,1
64,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,2,2,2,1
65,3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,2,2,2,1
66,4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,2,1,2,1
67,1,12,2,0,3651,4,3,1,3,1,3,2,31,3,2,1,3,1,1,2,1
68,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,2,2,2,1
69,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,2,1,2,1
70,1,6,4,0,666,4,4,3,2,1,4,1,39,3,2,2,2,2,2,2,1
71,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,2,2,2,1
72,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,2,1,2,1
73,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,2,1,2,1
74,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,2,1,2,1
75,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,2,1,2,1
76,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,2,1,2,1
77,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,2,1,2,1
78,4,24,4,2,3777,4,3,4,3,1,4,1,40,3,2,1,3,2,2,2,1
79,2,36,3,0,7432,1,3,2,2,1,2,2,54,3,1,1,3,2,1,2,1
80,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,2,2,2,1
81,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,2,2,2,1
82,4,24,2,3,1533,1,2,4,2,1,3,3,38,2,2,1,3,2,2,2,1
83,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,2,1,2,1
84,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,2,2,2,1
85,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,2,2,2,1
86,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,2,2,2,1
87,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,2,2,2,1
88,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,2,2,2,1
89,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,2,2,2,1
90,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,2,2,2,1
91,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,2,2,2,1
92,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,2,2,2,1
93,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,1,2,2,1
94,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,2,2,2,1
95,4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,2,1,2,1
96,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,2,2,2,1
97,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,2,2,2,1
98,4,15,2,4,874,5,2,4,2,1,1,1,24,3,2,1,3,2,1,2,1
99,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,2,2,2,1
100,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,1,2,2,1
101,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,2,1,2,1
102,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,2,2,2,1
103,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,2,2,2,1
104,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,2,1,2,1
105,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,2,2,2,1
106,4,6,2,2,1543,4,3,4,1,1,2,1,33,3,2,1,3,2,1,2,1
107,1,24,1,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,2,1,2,1
108,2,6,4,8,932,5,4,1,2,1,3,2,39,3,2,2,2,2,1,2,1
109,4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,2,2,2,1
110,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,2,2,2,1
111,4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,2,1,2,1
112,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,2,1,2,1
113,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,1,2,2,1
114,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,2,2,2,1
115,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,2,2,2,1
116,2,24,4,3,1743,1,5,4,3,1,2,2,48,3,2,2,2,2,1,2,1
117,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,2,1,2,1
118,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,2,1,2,1
119,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,2,2,2,1
120,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,2,2,2,1
121,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,2,1,2,1
122,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,2,1,2,1
123,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,2,2,2,1
124,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,2,1,2,1
125,3,24,4,9,1275,4,3,2,1,1,4,1,36,3,2,2,3,2,2,2,1
126,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,2,2,2,1
127,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,2,2,2,1
128,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,2,2,2,1
129,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,2,2,2,1
130,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,2,1,2,1
131,4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,2,2,2,1
132,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,2,1,2,1
133,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,2,2,2,1
134,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,2,1,2,1
135,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,2,1,2,1
136,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,1,1,2,1
137,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,1,2,2,1
138,4,24,2,3,3235,3,5,3,1,1,2,3,36,3,2,1,4,2,2,2,1
139,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,2,2,2,1
140,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,2,1,2,1
141,4,18,2,9,1950,1,4,4,3,1,1,3,34,2,2,2,3,2,2,2,1
142,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,2,2,2,1
143,4,9,2,4,1236,1,2,1,2,1,4,1,23,3,1,1,3,2,2,2,1
144,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,2,1,2,1
145,1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,2,1,2,1
146,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,2,2,2,1
147,4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,2,1,2,1
148,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,2,2,2,1
149,4,12,2,0,2390,5,5,4,3,1,3,3,50,3,2,1,3,2,2,2,1
150,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,1,2,2,1
151,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,1,1,2,1
152,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,2,2,2,1
153,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,2,2,2,1
154,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,2,1,2,1
155,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,2,1,2,1
156,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,2,1,2,1
157,4,33,4,1,7253,1,4,3,3,1,2,3,35,3,2,2,4,2,2,2,1
158,4,6,4,0,6761,1,4,1,3,1,3,4,45,3,2,2,4,1,2,2,1
159,4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,2,1,2,1
160,4,48,1,9,3609,1,3,1,2,1,1,1,27,2,2,1,3,2,1,2,1
161,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,2,1,2,1
162,3,18,1,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,2,1,2,1
163,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,2,2,1,1
164,1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,2,1,1,1
165,2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,2,2,2,1
166,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,2,1,2,1
167,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,2,2,2,1
168,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,2,2,2,1
169,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,1,1,1,1
170,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,2,2,2,1
171,1,24,1,2,2483,3,3,4,3,1,4,1,22,2,2,1,3,2,2,2,1
172,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,1,1,1,1,1
173,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,1,2,1,2,1
174,3,10,2,0,3949,1,2,1,3,3,1,2,37,3,2,1,2,1,1,2,1
175,4,10,2,1,2901,5,2,1,2,1,4,1,31,3,1,1,3,2,1,2,1
176,3,6,2,0,709,4,2,2,4,1,2,1,27,3,2,1,1,2,1,1,1
177,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,2,2,2,1
178,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,2,1,1,1
179,1,18,1,3,1940,1,2,3,3,2,4,4,36,1,3,1,4,2,2,2,1
180,3,30,4,3,3656,5,5,4,3,1,4,2,49,2,2,2,2,2,1,2,1
181,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,2,2,2,1
182,4,27,3,1,8613,4,3,2,3,1,2,3,27,3,2,2,3,2,1,2,1
183,1,18,2,2,2659,4,3,4,3,1,2,3,28,3,2,1,3,2,1,2,1
184,4,24,4,3,1516,4,3,4,2,1,1,1,43,3,2,2,2,2,1,2,1
185,1,18,2,0,4380,2,3,3,3,1,4,3,35,3,2,1,2,1,2,2,1
186,4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,2,1,2,1
187,4,21,2,9,1572,4,5,4,2,1,4,1,36,1,2,1,2,2,1,2,1
188,2,48,1,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,2,1,2,1
189,4,24,2,3,1278,1,5,4,3,1,1,1,36,3,2,1,4,2,2,2,1
190,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,2,2,2,1
191,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,2,2,2,1
192,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,2,1,2,1
193,4,21,2,2,2241,1,5,4,3,1,2,1,50,3,2,2,3,2,1,2,1
194,1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,2,1,2,1
195,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,1,1,2,1
196,4,39,2,1,2569,3,3,4,3,1,4,3,24,3,2,1,3,2,1,2,1
197,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,2,1,2,1
198,4,18,4,3,629,3,5,4,3,1,3,2,32,1,2,2,4,2,2,2,1
199,4,6,1,3,1750,3,5,2,3,1,4,2,45,1,2,1,2,1,1,2,1
200,4,18,4,3,1800,1,3,4,3,1,2,3,24,3,2,2,3,2,1,2,1
201,4,24,3,2,4151,2,3,2,3,1,3,2,35,3,2,2,3,2,1,2,1
202,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,2,1,2,1
203,2,18,3,0,2899,5,5,4,3,1,4,3,43,3,2,1,3,1,1,2,1
204,2,18,3,5,6204,1,3,2,3,1,4,1,44,3,2,1,2,1,2,2,1
205,4,12,2,3,804,1,5,4,3,1,4,3,38,3,2,1,3,2,1,2,1
206,4,36,2,3,3595,1,5,4,3,1,2,3,28,3,2,1,3,2,1,2,1
207,4,36,4,1,5711,4,5,4,3,1,2,3,38,3,2,2,4,2,2,2,1
208,1,15,3,2,3643,1,5,1,2,1,4,2,27,3,2,2,2,2,1,2,1
209,4,10,4,2,2146,1,2,1,2,1,3,1,23,3,1,2,3,2,1,2,1
210,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,2,1,2,1
211,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,2,1,2,1
212,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,2,1,2,1
213,3,10,2,2,1275,1,2,4,2,1,2,2,23,3,2,1,3,2,1,2,1
214,4,9,2,2,1313,1,5,1,3,1,4,3,20,3,2,1,3,2,1,2,1
215,4,22,2,3,2675,3,5,3,3,1,4,3,40,3,2,1,3,2,1,2,1
216,2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,1,1,2,1
217,4,12,4,2,1258,1,2,2,2,1,4,2,22,3,1,2,2,2,1,2,1
218,4,15,1,3,1569,2,5,4,3,1,4,3,34,1,2,1,2,1,1,2,1
219,4,36,3,2,7678,3,4,2,2,1,4,3,40,3,2,2,3,2,2,2,1
220,4,6,2,5,660,3,4,2,4,1,4,1,23,3,1,1,2,2,1,2,1
221,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,2,1,2,1
222,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,2,2,2,1
223,4,12,1,8,3447,3,3,4,2,1,3,1,35,3,2,1,2,1,1,2,1
224,4,15,2,3,3568,1,5,4,2,1,2,3,54,1,1,1,4,2,2,2,1
225,2,21,4,9,3652,1,4,2,3,1,3,2,27,3,2,2,3,2,1,2,1
226,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,2,1,2,1
227,3,9,2,3,1126,2,5,2,1,1,4,1,49,3,2,1,3,2,1,2,1
228,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,2,1,2,1
229,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,2,1,2,1
230,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,2,1,2,1
231,2,21,3,0,2353,1,3,1,1,1,4,2,47,3,2,2,3,2,1,2,1
232,1,21,2,3,3357,4,2,4,2,1,2,3,29,1,2,1,3,2,1,2,1
233,4,6,2,0,672,1,1,1,2,1,4,1,54,3,2,1,1,2,2,2,1
234,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,1,1,2,1
235,4,9,2,0,2507,3,5,2,3,1,4,4,51,3,3,1,2,2,1,2,1
236,4,15,3,3,1478,1,3,4,4,1,3,1,33,1,2,2,3,2,1,2,1
237,4,12,4,6,3565,5,2,2,3,1,1,2,37,3,2,2,2,1,1,2,1
238,4,6,4,3,1898,5,3,1,3,1,2,1,34,3,2,2,2,1,1,2,1
239,2,6,3,9,1449,2,5,1,1,1,2,3,31,1,2,2,3,1,1,2,1
240,4,15,3,2,960,4,4,3,2,1,2,2,30,3,2,2,3,2,1,2,1
241,4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,2,1,2,1
242,4,9,2,2,2301,2,2,2,2,1,4,2,22,3,1,1,3,2,1,2,1
243,4,6,3,9,1743,2,3,1,3,1,2,1,34,3,2,2,2,2,1,2,1
244,2,12,2,2,983,4,2,1,2,1,4,1,19,3,1,1,2,2,1,2,1
245,4,18,3,3,2320,1,1,2,4,1,3,1,34,3,2,2,3,2,1,2,1
246,1,12,1,8,339,1,5,4,4,1,1,3,45,1,2,1,2,2,1,2,1
247,3,24,2,3,5152,1,4,4,3,1,2,3,25,1,2,1,3,2,1,2,1
248,3,24,2,2,3749,1,2,2,2,1,4,3,26,3,2,1,3,2,1,2,1
249,4,9,4,3,3074,5,3,1,3,1,2,1,33,3,2,2,3,1,1,2,1
250,4,24,2,0,1469,2,5,4,4,1,4,1,41,3,1,1,2,2,1,2,1
251,1,6,2,2,1374,1,3,1,3,1,2,1,36,1,2,1,2,2,2,2,1
252,1,21,2,3,2606,1,2,4,2,1,4,2,28,3,1,1,4,2,2,2,1
253,4,54,0,1,9436,5,3,2,3,1,2,2,39,3,2,1,2,1,1,2,1
254,4,12,4,3,930,5,5,4,3,1,4,1,65,3,2,4,3,2,1,2,1
255,4,48,4,1,2751,5,5,4,3,1,3,3,38,3,2,2,3,1,2,2,1
256,4,6,4,0,250,4,3,2,2,1,2,1,41,1,2,2,2,2,1,2,1
257,2,24,2,0,1201,1,2,4,3,1,1,2,26,3,2,1,3,2,1,2,1
258,1,6,2,0,662,1,2,3,3,1,4,1,41,3,2,1,2,1,2,2,1
259,4,15,2,1,1300,5,5,4,3,1,4,4,45,1,3,1,3,1,1,2,1
260,4,24,1,9,1559,1,4,4,3,1,4,3,40,1,2,1,3,2,2,2,1
261,4,15,4,3,1360,1,3,4,3,1,2,2,31,3,2,2,3,2,1,2,1
262,4,6,0,0,1204,2,3,4,3,1,1,4,35,1,1,1,3,2,1,1,1
263,4,10,2,0,1597,3,3,3,3,1,2,4,40,3,1,1,2,1,1,1,1
264,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,2,1,2,1
